nombre,rut,idEmpleado,sueldoBase,turno
Natalia Fuentes,16789012-3,EMP-003,700000.0,Noche
Oscar Beltrán,17890123-4,EMP-014,580000.0,Mañana
Patricia Lagos,18901234-5,EMP-025,200000.0,Tarde
Quintín Mora,15678901-6,EMP-036,590000.0,Noche
Rosa Espinoza,12340987-7,EMP-047,640000.0,Mañana
Martín Reyes,14567890-2,EMP-002,620000.0,Tarde
Ulises Bravo,15673210-K,EMP-310,680000.0,Mañana
Laura Méndez,10987654-1,EMP-001,650000.0,Mañana
Claudio Vergara,21521843-0,EMP-041,600000.0,Tarde
Tamara Ortiz,14562109-9,EMP-209,600000.0,Noche
Sebastián Vidal,13451098-8,EMP-108,720000.0,Tarde
